Date,Habit,Category,Target,Completed,Time Spent (Minutes),Mood,Current Streak,Notes
2025-01-01,Exercise,Fitness,1,Yes,18,Tired,1,Need improvement
2025-01-01,Reading,Learning,1,Yes,28,Stressed,1,Busy schedule
2025-01-01,Meditation,Health,1,Yes,19,Happy,1,Busy schedule
2025-01-01,Coding,Learning,1,Yes,79,Stressed,1,Completed successfully
2025-01-01,Drink Water,Health,1,Yes,84,Motivated,1,Need improvement
2025-01-01,Walking,Fitness,1,Yes,50,Happy,1,Felt energetic
2025-01-01,Journal,Personal Growth,1,Yes,58,Tired,1,Felt energetic
2025-01-01,Yoga,Fitness,1,Yes,58,Happy,1,Busy schedule
2025-01-01,Sleep 8 Hours,Health,1,Yes,60,Tired,1,Great progress
2025-01-01,Study,Education,1,Yes,20,Motivated,1,Not feeling well
2025-01-02,Exercise,Fitness,1,Yes,63,Happy,2,Not feeling well
2025-01-02,Reading,Learning,1,Yes,61,Stressed,2,Need improvement
2025-01-02,Meditation,Health,1,Yes,20,Neutral,2,Excellent consistency
2025-01-02,Coding,Learning,1,No,0,Neutral,0,Busy schedule
2025-01-02,Drink Water,Health,1,Yes,73,Tired,2,Felt energetic
2025-01-02,Walking,Fitness,1,Yes,41,Tired,2,Busy schedule
2025-01-02,Journal,Personal Growth,1,Yes,36,Stressed,2,Need improvement
2025-01-02,Yoga,Fitness,1,Yes,63,Tired,2,Not feeling well
2025-01-02,Sleep 8 Hours,Health,1,Yes,56,Happy,2,Need improvement
2025-01-02,Study,Education,1,No,0,Tired,0,Weekend break
2025-01-03,Exercise,Fitness,1,Yes,42,Stressed,3,Skipped due to work
2025-01-03,Reading,Learning,1,Yes,78,Motivated,3,Very productive
2025-01-03,Meditation,Health,1,Yes,32,Neutral,3,Not feeling well
2025-01-03,Coding,Learning,1,Yes,89,Motivated,1,Great progress
2025-01-03,Drink Water,Health,1,Yes,43,Neutral,3,Not feeling well
2025-01-03,Walking,Fitness,1,Yes,21,Happy,3,Felt energetic
2025-01-03,Journal,Personal Growth,1,Yes,69,Stressed,3,Busy schedule
2025-01-03,Yoga,Fitness,1,Yes,74,Stressed,3,Excellent consistency
2025-01-03,Sleep 8 Hours,Health,1,No,0,Happy,0,Busy schedule
2025-01-03,Study,Education,1,Yes,83,Tired,1,Skipped due to work
2025-01-04,Exercise,Fitness,1,Yes,70,Neutral,4,Very productive
2025-01-04,Reading,Learning,1,Yes,48,Stressed,4,Felt energetic
2025-01-04,Meditation,Health,1,Yes,28,Tired,4,Not feeling well
2025-01-04,Coding,Learning,1,Yes,34,Tired,2,Felt energetic
2025-01-04,Drink Water,Health,1,Yes,82,Happy,4,Great progress
2025-01-04,Walking,Fitness,1,Yes,17,Happy,4,Skipped due to work
2025-01-04,Journal,Personal Growth,1,No,0,Tired,0,Need improvement
2025-01-04,Yoga,Fitness,1,Yes,87,Happy,4,Busy schedule
2025-01-04,Sleep 8 Hours,Health,1,Yes,23,Stressed,1,Felt energetic
2025-01-04,Study,Education,1,Yes,75,Stressed,2,Felt energetic
2025-01-05,Exercise,Fitness,1,Yes,69,Neutral,5,Not feeling well
2025-01-05,Reading,Learning,1,Yes,40,Tired,5,Weekend break
2025-01-05,Meditation,Health,1,No,0,Tired,0,Very productive
2025-01-05,Coding,Learning,1,No,0,Motivated,0,Busy schedule
2025-01-05,Drink Water,Health,1,Yes,23,Tired,5,Completed successfully
2025-01-05,Walking,Fitness,1,Yes,44,Stressed,5,Need improvement
2025-01-05,Journal,Personal Growth,1,Yes,22,Neutral,1,Busy schedule
2025-01-05,Yoga,Fitness,1,No,0,Tired,0,Busy schedule
2025-01-05,Sleep 8 Hours,Health,1,Yes,50,Motivated,2,Need improvement
2025-01-05,Study,Education,1,Yes,88,Stressed,3,Very productive
2025-01-06,Exercise,Fitness,1,Yes,75,Motivated,6,Need improvement
2025-01-06,Reading,Learning,1,Yes,70,Tired,6,Weekend break
2025-01-06,Meditation,Health,1,Yes,21,Happy,1,Completed successfully
2025-01-06,Coding,Learning,1,Yes,58,Happy,1,Need improvement
2025-01-06,Drink Water,Health,1,Yes,83,Motivated,6,Felt energetic
2025-01-06,Walking,Fitness,1,Yes,50,Motivated,6,Need improvement
2025-01-06,Journal,Personal Growth,1,No,0,Happy,0,Very productive
2025-01-06,Yoga,Fitness,1,No,0,Stressed,0,Busy schedule
2025-01-06,Sleep 8 Hours,Health,1,Yes,84,Happy,3,Busy schedule
2025-01-06,Study,Education,1,No,0,Neutral,0,Felt energetic
